@relation beansData

@attribute LENGTH REAL
@attribute BREADTH REAL
@attribute WIDTH REAL
@attribute NAME {BIG_DRUM,SMALL_DRUM,oloyin_beans,MILK_BEANS}

@data
9.54,7.14,6.41,BIG_DRUM
10.19,7.82,7.46,BIG_DRUM
8.58,7.71,6.70,BIG_DRUM
10.27,8.38,8.04,BIG_DRUM
9.65,7.55,7.48,BIG_DRUM
10.11,7.84,7.02,BIG_DRUM
10.65,8.02,7.55,BIG_DRUM
9.72,7.32,7.14,BIG_DRUM
10.65,9.16,7.53,BIG_DRUM
10.30,8.71,7.31,BIG_DRUM
9.12,7.36,7.11,BIG_DRUM
10.38,7.9,7.19,BIG_DRUM
10.40,8.4,7.58,BIG_DRUM
11.29,7.89,7.26,BIG_DRUM
9.89,7.66,7.22,BIG_DRUM
10.58,7.84,6.68,BIG_DRUM
9.00,7.68,7.40,BIG_DRUM
10.84,7.9,6.99,BIG_DRUM
11.67,8.5,7.65,BIG_DRUM
9.56,8.44,7.78,BIG_DRUM
9.83,7.2,6.59,BIG_DRUM
9.07,6.66,6.35,BIG_DRUM
10.19,8.29,6.47,BIG_DRUM
8.32,6.21,6.18,BIG_DRUM
10.16,6.47,6.37,BIG_DRUM
8.00,6.38,6.26,BIG_DRUM
8.68,6.75,6.10,BIG_DRUM
9.22,6.99,6.21,BIG_DRUM
8.42,6.92,6.01,BIG_DRUM
7.80,6.05,6.05,BIG_DRUM
8.94,6.65,6.17,BIG_DRUM
10.19,7.29,6.78,BIG_DRUM
9.16,7.37,7.03,BIG_DRUM
9.70,7.8,7.75,BIG_DRUM
9.52,6.89,6.56,BIG_DRUM
9.81,8.51,7.46,BIG_DRUM
9.60,6.53,6.49,BIG_DRUM
9.91,6.74,6.68,BIG_DRUM
9.38,7.45,7.07,BIG_DRUM
9.71,7.78,6.99,BIG_DRUM
9.18,7.54,6.56,BIG_DRUM
10.42,7.65,7.17,BIG_DRUM
10.98,7.17,6.99,BIG_DRUM
9.90,6.78,5.76,BIG_DRUM
9.26,7.42,7.02,BIG_DRUM
9.49,7.3,6.21,BIG_DRUM
10.58,6.92,6.39,BIG_DRUM
10.93,7.34,6.90,BIG_DRUM
9.93,7.11,6.85,BIG_DRUM
9.73,6.53,6.02,BIG_DRUM
9.69,6.88,6.19,BIG_DRUM
9.30,7.28,6.44,BIG_DRUM
10.63,8.07,7.76,BIG_DRUM
9.39,7.31,6.29,BIG_DRUM
10.17,6.27,5.39,BIG_DRUM
10.25,7.7,7.23,BIG_DRUM
10.50,7.28,6.99,BIG_DRUM
9.90,7.55,6.15,BIG_DRUM
10.99,7.57,6.61,BIG_DRUM
10.63,6.79,6.62,BIG_DRUM
10.82,7.3,6.99,BIG_DRUM
8.30,6.39,6.20,BIG_DRUM
9.95,7.79,5.71,BIG_DRUM
10.46,6.91,6.27,BIG_DRUM
8.26,6.16,6.13,BIG_DRUM
8.58,6.53,6.32,BIG_DRUM
